,MOTA,MOTP,Frames,GT,IDF1,IDP,IDR,Rcll,Prcn,MT,PT,ML,FP,FN,IDsw,FM
GOT-10k_Val_000169,0.8681318681318682,0.26116270433268246,91,91,0.9340659340659341,0.9340659340659341,0.9340659340659341,0.9340659340659341,0.9340659340659341,1,0,0,6,6,0,3
GOT-10k_Val_000170,0.4065934065934066,0.3049901066648085,91,91,0.7032967032967034,0.7032967032967034,0.7032967032967034,0.7032967032967034,0.7032967032967034,0,1,0,27,27,0,4
GOT-10k_Val_000171,1.0,0.1668929625972406,91,91,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
GOT-10k_Val_000172,1.0,0.1675932205584082,211,211,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
GOT-10k_Val_000173,1.0,0.10635409608971112,400,400,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
GOT-10k_Val_000174,0.46803069053708435,0.2935629779551019,391,391,0.7340153452685422,0.7340153452685422,0.7340153452685422,0.7340153452685422,0.7340153452685422,0,1,0,104,104,0,19
GOT-10k_Val_000175,0.47601476014760147,0.3342180338439264,271,271,0.7380073800738007,0.7380073800738007,0.7380073800738007,0.7380073800738007,0.7380073800738007,0,1,0,71,71,0,33
GOT-10k_Val_000176,0.5463917525773196,0.21775036491596314,291,291,0.7731958762886598,0.7731958762886598,0.7731958762886598,0.7731958762886598,0.7731958762886598,0,1,0,66,66,0,12
GOT-10k_Val_000177,0.4606741573033708,0.32952886903229045,178,178,0.7303370786516854,0.7303370786516854,0.7303370786516854,0.7303370786516854,0.7303370786516854,0,1,0,48,48,0,16
GOT-10k_Val_000178,-0.31034482758620685,0.35506079820034187,261,261,0.3448275862068966,0.3448275862068966,0.3448275862068966,0.3448275862068966,0.3448275862068966,0,1,0,171,171,0,3
GOT-10k_Val_000179,0.36342042755344417,0.20163815410657004,421,421,0.6817102137767221,0.6817102137767221,0.6817102137767221,0.6817102137767221,0.6817102137767221,0,1,0,134,134,0,12
